hidden numbering,Frequency Rank,Complexity,Word,Romanised,품사,Classification,Hanja/Ref.,English,,Wiktionary Link,,Wordreference Link,Note,,,
1,1,A,것,geos,의,noun,,A thing or an object,https://en.wiktionary.org/wiki/것,https://en.wiktionary.org/wiki/것,https://www.wordreference.com/koen/것,https://www.wordreference.com/koen/것,,,,
2,2,A,하다,hada,동,verb,,To do,https://en.wiktionary.org/wiki/하다,https://en.wiktionary.org/wiki/하다,https://www.wordreference.com/koen/하다,https://www.wordreference.com/koen/하다,,,명,noun
3,3,A,있다,issda,보,auxiliary verb,,1. to be (in a place); to exist 2. to have,https://en.wiktionary.org/wiki/있다,https://en.wiktionary.org/wiki/있다,https://www.wordreference.com/koen/있다,https://www.wordreference.com/koen/있다,after the 어/아 (-eo/a) infinitive) to be (in a state),,동,verb
4,4,A,있다,issda,형,adjective,,To be,https://en.wiktionary.org/wiki/있다,https://en.wiktionary.org/wiki/있다,https://www.wordreference.com/koen/있다,https://www.wordreference.com/koen/있다,after the 고 (-go) connective) to be in the process of,,보,auxiliary verb
5,5,A,되다,doeda,동,verb,어른이~,"to become; (of a time) to come, to arrive",https://en.wiktionary.org/wiki/되다,https://en.wiktionary.org/wiki/되다,https://www.wordreference.com/koen/되다,https://www.wordreference.com/koen/되다,,,형,adjective
6,6,A,수,su,의,noun,방법,"way, method, means",https://en.wiktionary.org/wiki/수,https://en.wiktionary.org/wiki/수,https://www.wordreference.com/koen/수,https://www.wordreference.com/koen/수,,,대,pronoun
7,7,A,하다,hada,보,auxiliary verb,,To do,https://en.wiktionary.org/wiki/하다,https://en.wiktionary.org/wiki/하다,https://www.wordreference.com/koen/하다,https://www.wordreference.com/koen/하다,,,수,numeral
8,8,A,나,na,대,pronoun,,I,https://en.wiktionary.org/wiki/나,https://en.wiktionary.org/wiki/나,https://www.wordreference.com/koen/나,https://www.wordreference.com/koen/나,,,의,noun
9,9,A,그,geu,관,attributive,,"He, That",https://en.wiktionary.org/wiki/그,https://en.wiktionary.org/wiki/그,https://www.wordreference.com/koen/그,https://www.wordreference.com/koen/그,,,관,attributive
10,10,A,없다,eopsda,형,adjective,,"Do not exist, absent",https://en.wiktionary.org/wiki/없다,https://en.wiktionary.org/wiki/없다,https://www.wordreference.com/koen/없다,https://www.wordreference.com/koen/없다,,,부,adverb
11,11,A,않다,anhda,보,auxiliary verb,,To not do,https://en.wiktionary.org/wiki/않다,https://en.wiktionary.org/wiki/않다,https://www.wordreference.com/koen/않다,https://www.wordreference.com/koen/않다,,,감,interjection
12,12,A,사람,saram,명,noun,,Person,https://en.wiktionary.org/wiki/사람,https://en.wiktionary.org/wiki/사람,https://www.wordreference.com/koen/사람,https://www.wordreference.com/koen/사람,,,고,place name
13,13,A,우리,uri,대,pronoun,,"we, our",https://en.wiktionary.org/wiki/우리,https://en.wiktionary.org/wiki/우리,https://www.wordreference.com/koen/우리,https://www.wordreference.com/koen/우리,,,불,expression
14,14,A,이,i,관,attributive,,"A person, This",https://en.wiktionary.org/wiki/이,https://en.wiktionary.org/wiki/이,https://www.wordreference.com/koen/이,https://www.wordreference.com/koen/이,,,,
15,15,A,그,geu,대,pronoun,,"He, That",https://en.wiktionary.org/wiki/그,https://en.wiktionary.org/wiki/그,https://www.wordreference.com/koen/그,https://www.wordreference.com/koen/그,,,,
16,16,A,아니다,anida,형,adjective,,To not be,https://en.wiktionary.org/wiki/아니다,https://en.wiktionary.org/wiki/아니다,https://www.wordreference.com/koen/아니다,https://www.wordreference.com/koen/아니다,,,,
17,17,A,보다,boda,동,verb,,"To see, to watch, to look at",https://en.wiktionary.org/wiki/보다,https://en.wiktionary.org/wiki/보다,https://www.wordreference.com/koen/보다,https://www.wordreference.com/koen/보다,,,,
18,18,B,등,deung,의,noun,等,rank,https://en.wiktionary.org/wiki/등,https://en.wiktionary.org/wiki/등,https://www.wordreference.com/koen/등,https://www.wordreference.com/koen/등,,,,
